,Words,Frequency
739,højre,490
740,ligesaa,489
741,just,489
742,deraf,489
743,nikkede,488
744,desuden,488
745,standsede,488
746,igjennem,488
747,sætter,488
748,stærk,487
749,træt,487
750,m,486
751,hviskede,484
752,skrev,483
753,boede,482
754,ligge,482
755,kende,481
756,vente,481
757,lære,481
758,udtryk,480
759,kærlighed,479
760,følgende,479
761,hurtigt,478
762,blaa,478
763,jakob,477
764,særlig,476
765,blomsterne,475
766,rystede,473
767,smuk,472
768,altfor,471
769,sengen,470
770,katinka,469
771,lave,468
772,vejret,468
773,trappen,468
774,fuldt,467
775,tjeneste,467
776,gaden,467
777,samlede,466
778,rolig,466
779,endog,464
780,fødder,464
781,omtrent,464
782,hang,463
783,timer,462
784,l,462
785,venstre,462
786,smukke,461
787,-men,460
788,spørgsmaal,460
789,glas,460
790,gled,460
791,løs,459
792,græd,458
793,skød,457
794,drengen,457
795,d,457
796,især,457
797,ældste,456
798,deri,456
799,troer,455
800,bryst,455
801,stol,454
802,danmark,453
803,tillige,453
804,sider,453
805,nikola,452
806,dèr,452
807,hvile,451
808,frederik,450
809,mening,450
810,haven,449
811,sol,448
812,temmelig,448
813,hannem,448
814,madam,448
815,trods,447
816,derom,446
817,forstaar,446
818,værelse,446
819,dermed,445
820,vidt,444
821,luft,442
822,herrer,442
823,billede,441
824,læse,440
825,frygt,439
826,angst,439
827,margrethe,438
828,andrea,438
829,søen,437
830,levede,437
831,rent,436
832,la,436
833,tyve,436
834,hed,435
835,fremmed,435
836,gerne,434
837,ældre,434
838,latter,434
839,le,433
840,ladet,433
841,saadanne,433
842,selve,433
843,navnlig,432
844,anledning,432
845,vognen,432
846,hel,431
847,smilede,430
848,planter,429
849,overfor,429
850,otte,429
851,nød,427
852,stand,427
853,højhed,426
854,bragt,426
855,aabne,426
856,tegn,426
857,vende,425
858,færdig,425
859,forlod,425
860,dame,424
861,største,423
862,fruen,423
863,hensyn,423
864,slaa,422
865,fare,422
866,tone,422
867,afsted,421
868,stak,421
869,armen,421
870,maria,420
871,sofie,418
872,kalder,418
873,sov,417
874,selskab,417
875,resten,417
876,enten,417
877,ingenting,416
878,bede,416
879,graa,415
880,stakkels,415
881,bai,414
882,enkelt,414
883,kalde,414
884,hender,414
885,bevægelse,414
886,får,414
887,fører,412
888,vedblev,412
889,ske,411
890,gaaer,410
891,byer,410
892,viser,409
893,alen,408
894,burde,408
895,grad,407
896,faders,407
897,bor,407
898,rakte,407
899,judas,407
900,lide,405
901,børnene,405
902,syg,404
903,spørge,404
904,forstaa,404
905,drev,404
906,historie,404
907,bladene,403
908,sorg,403
909,blade,402
910,frue,402
911,hurtig,402
912,lyd,402
913,derfra,400
914,dér,400
915,skaffe,399
916,tav,399
917,mi,398
918,vred,398
919,grunden,398
920,dansk,398
921,læber,398
922,bød,398
923,vin,397
924,lykkelig,397
925,lægger,397
926,ønske,397
927,synd,397
928,søster,396
929,alting,396
930,stue,396
931,havt,396
932,saadant,394
933,lig,394
934,hin,393
935,stillede,393
936,illustration,392
937,foruden,392
938,slap,391
939,smukt,390
940,f,390
941,juda,390
942,skikkelse,389
943,ka,388
944,følelse,388
945,begynder,388
946,glemt,388
947,endda,387
948,eet,387
949,varme,387
950,skrive,386
951,sort,386
952,morgenen,385
953,grønne,385
954,rede,385
955,turde,384
956,ryggen,384
957,samtidig,384
958,kristus,383
959,spillede,381
960,ilden,381
961,hest,380
962,gaard,379
963,bo,379
964,haab,379
965,indtryk,378
966,måtte,378
967,legeme,377
968,gjerne,377
969,smule,377
970,fulde,376
971,bør,376
972,kamp,376
973,kære,374
974,ak,373
975,jørgen,373
976,axel,373
977,skete,372
978,excellence,372
979,gule,370
980,jordens,369
981,umuligt,369
982,idag,369
983,forresten,369
984,lyse,368
985,række,368
986,ønsker,368
987,knæ,367
988,bleff,367
989,mængde,367
990,carl,366
991,far,365
992,baronen,365
993,præst,364
994,bleg,364
995,israeliterne,363
996,lukket,363
997,maren,362
998,derinde,360
999,form,360
1000,hals,360
1001,ønskede,360
1002,juris,359
1003,spiste,358
1004,føle,358
1005,mødte,357
1006,begyndelsen,356
1007,tilfælde,356
1008,sværd,355
1009,corpus,355
1010,piger,354
1011,retning,354
1012,brede,354
1013,hvormed,354
1014,øde,354
1015,barnet,354
1016,jomfru,354
1017,livets,353
1018,rød,353
1019,fig,352
1020,stund,351
1021,øre,350
1022,svare,350
1023,-jeg,350
1024,-og,350
1025,trængte,349
1026,led,349
1027,ført,349
1028,rejser,349
1029,vild,349
1030,skygge,347
1031,drak,346
1032,ihjel,346
1033,følger,346
1034,hvid,346
1035,kunnet,346
1036,gangen,345
1037,betragtede,344
1038,vender,344
1039,klare,343
1040,føler,343
1041,træ,343
1042,himmelen,343
1043,bærer,342
1044,tanken,341
1045,indre,340
1046,haardt,340
1047,mor,340
1048,wille,339
1049,rejst,339
1050,kirken,339
1051,øine,338
1052,både,338
1053,skreg,338
1054,stykker,338
1055,fyldte,337
1056,øieblik,337
1057,hvorpaa,337
1058,fine,336
1059,fleste,336
1060,sank,336
1061,stå,336
1062,frelse,335
1063,gift,335
1064,brug,335
1065,mørkt,335
1066,beder,334
1067,kjærlighed,333
1068,anna,333
1069,dækket,333
1070,hwad,333
1071,herluf,332
1072,familie,332
1073,gu,331
1074,hverandre,331
1075,slag,330
1076,forsvandt,330
1077,evig,330
1078,sendt,330
1079,officerer,330
1080,damer,329
1081,skjøndt,329
1082,øvrige,329
1083,natur,328
1084,værd,328
1085,rigtignok,328
1086,fjender,328
1087,siddende,327
1088,uhyre,327
1089,skam,327
1090,byens,326
1091,tolv,326
1092,dæ,325
1093,sgu,325
1094,fædre,325
1095,begyndt,325
1096,mærkede,324
1097,løbe,324
1098,kræfter,324
1099,—,323
1100,kjender,322
1101,traf,322
1102,ånd,322
1103,rum,322
1104,søger,321
1105,skriver,321
1106,underlig,320
1107,rev,320
1108,ulykke,320
1109,styrke,320
1110,anderledes,320
1111,c,319
1112,porten,319
1113,eichbaum,318
1114,knap,318
1115,interesse,318
1116,tal,317
1117,seet,317
1118,bringer,317
1119,hente,317
1120,lejlighed,317
1121,vogn,316
1122,christian,316
1123,tredie,315
1124,mands,315
1125,kirke,315
1126,samtale,315
1127,tvivl,314
1128,himmel,314
1129,tungt,313
1130,heste,313
1131,professor,313
1132,fuldstændig,313
1133,saul,313
1134,træk,313
1135,strakte,313
1136,lidet,312
1137,huse,312
1138,armene,312
1139,slaaet,312
1140,giv,312
1141,blodet,312
1142,middag,312
1143,forskjellige,311
1144,kjære,310
1145,bogen,310
1146,hjorth,309
1147,art,308
1148,født,308
1149,aaret,308
1150,ligefrem,308
1151,johannes,307
1152,benene,306
1153,bøger,305
1154,højere,304
1155,syn,304
1156,tidlig,304
1157,hold,304
1158,pastor,304
1159,spor,304
1160,bred,304
1161,sæt,303
1162,kunst,303
1163,mad,303
1164,spille,303
1165,adolf,302
1166,overalt,301
1167,henning,301
1168,erik,301
1169,slaar,301
1170,sikker,301
1171,københavn,300
1172,søren,300
1173,tusind,299
1174,glade,299
1175,tidt,299
1176,line,299
1177,begynde,299
1178,sager,298
1179,skibe,298
1180,vinden,297
1181,peter,297
1182,prøve,296
1183,mo,296
1184,alvor,295
1185,ægte,295
1186,engelske,294
1187,taarer,294
1188,rædsel,294
1189,lykkedes,293
1190,dyb,293
1191,nogensinde,293
1192,red,293
1193,kød,292
1194,staaer,291
1195,høg,291
1196,sølv,291
1197,ordre,290
1198,venter,290
1199,raad,290
1200,sinde,289
1201,døtre,289
1202,væk,289
1203,dels,288
1204,bøn,288
1205,faaer,288
1206,herlighed,288
1207,sluttede,288
1208,værk,288
1209,saamænd,287
1210,ambrosius,287
1211,april,287
1212,halsen,287
1213,nord,286
1214,søvn,286
1215,aaben,286
1216,værre,286
1217,synder,285
1218,ren,285
1219,kaste,285
1220,hat,285
1221,fløj,284
1222,besøg,284
1223,hellere,284
1224,marken,284
1225,sand,283
1226,veje,283
1227,seks,283
1228,sket,283
1229,hærskarers,282
1230,altsammen,282
1231,ét,282
1232,sky,282
1233,abigael,281
1234,salen,281
1235,guder,281
1236,betydning,281
1237,blicher,280
1238,moders,280
1239,ordet,280
1240,huus,280
1241,udi,280
1242,skrig,280
1243,tusinde,279
1244,arbeide,279
1245,kys,279
1246,tavs,279
1247,hist,279
1248,aand,278
1249,kyssede,278
1250,pande,277
1251,almindelige,277
1252,husker,276
1253,liggende,276
1254,fejl,276
1255,pris,276
1256,maal,276
1257,syge,276
1258,endogsaa,275
1259,si,275
1260,dele,275
1261,fandtes,275
1262,rørte,274
1263,hav,274
1264,p,274
1265,onkel,274
1266,sende,274
1267,forlade,274
1268,huske,274
1269,læst,274
1270,nærmede,274
1271,sprog,274
1272,dybe,274
1273,hvorfra,274
1274,trække,274
1275,uret,274
1276,klart,273
1277,ligeledes,273
1278,mændene,273
1279,synge,272
1280,emmy,272
1281,vinde,272
1282,forbindelse,272
1283,stemning,272
1284,vaagnede,271
1285,derude,271
1286,smilende,271
1287,fattige,271
1288,menneskene,271
1289,arbejdet,271
1290,førend,271
1291,tomme,271
1292,aron,271
1293,ovre,270
1294,rask,270
1295,pigen,270
1296,foer,270
1297,glemte,269
1298,vistnok,269
1299,sommeren,269
1300,ofre,269
1301,dagligstuen,269
1302,hidtil,269
1303,forladt,269
1304,nærmest,268
1305,ane,268
1306,paany,267
1307,verdens,267
1308,kendt,267
1309,almindelig,267
1310,trykkede,266
1311,græde,266
1312,hu,266
1313,breve,266
1314,sandhed,265
1315,dick,265
1316,gerninger,265
1317,skolen,265
1318,ansigter,265
1319,ungdom,265
1320,forskellige,264
1321,person,264
1322,lignede,264
1323,roligt,264
1324,sender,264
1325,fart,264
1326,fortsatte,263
1327,grav,262
1328,sent,262
1329,halve,262
1330,øverste,262
1331,lært,262
1332,brandt,262
1333,hede,261
1334,hedder,261
1335,røre,261
1336,væggen,261
1337,banner,261
1338,lå,260
1339,drejede,260
1340,kolde,260
1341,lærer,260
1342,fulgt,260
1343,ordene,259
1344,helga,258
1345,krog,258
1346,stamme,258
1347,fanden,258
1348,stærkere,258
1349,tredje,258
1350,staaet,257
1351,sandelig,257
1352,st,256
1353,ryg,256
1354,kinder,256
1355,stemmer,255
1356,fingre,255
1357,reiste,255
1358,anders,255
1359,frisk,254
1360,klang,254
1361,fælles,254
1362,slippe,254
1363,træer,254
1364,tavse,254
1365,kold,254
1366,løfte,254
1367,glemme,253
1368,dom,253
1369,drømme,253
1370,daglig,253
1371,galt,253
1372,krig,253
1373,orden,252
1374,juli,252
1375,gi,252
1376,værelset,252
1377,bolig,252
1378,drager,251
1379,lignende,251
1380,virkeligheden,251
1381,kjendte,251
1382,frugt,251
1383,jensen,251
1384,træde,251
1385,bruge,250
1386,sommer,250
1387,rig,250
1388,minutter,250
1389,neppe,250
1390,wed,249
1391,sa,249
1392,strøg,249
1393,opmærksomhed,249
1394,korte,249
1395,færd,248
1396,alvorlig,248
1397,bryde,248
1398,nils,247
1399,wel,247
1400,naaet,247
1401,modtog,247
1402,blir,247
1403,professoren,247
1404,tjene,247
1405,juni,247
1406,vendt,247
1407,evigt,247
1408,bunden,247
1409,ydre,247
1410,břlling,246
1411,minder,246
1412,maaneder,245
1413,behøver,245
1414,mark,245
1415,bøjet,245
1416,bryder,245
1417,klar,245
1418,præsterne,244
1419,lovet,244
1420,fjerne,244
1421,kørte,244
1422,fa,244
1423,tit,244
1424,koldt,244
1425,spørger,244
1426,siddet,244
1427,leilighed,243
1428,forstand,243
1429,nina,243
1430,dernede,243
