,Words,Frequency
778,agafar,155
779,víctor,155
780,canvi,155
781,minuts,155
782,pogué,155
783,passant,155
784,emperador,155
785,cuina,154
786,servei,154
787,surt,154
788,podeu,154
789,capítol,153
790,sen,153
791,deien,153
792,seny,153
793,poca,153
794,pres,152
795,veritable,152
796,crit,152
797,fer-se,152
798,art,151
799,arriba,151
800,farà,151
801,vaja,151
802,temme,150
803,trobat,150
804,pujar,150
805,enemic,150
806,viatge,150
807,infant,150
808,senyal,150
809,illa,150
810,torre,150
811,pocs,149
812,vam,149
813,deixava,149
814,-per,149
815,llengua,149
816,remei,149
817,peix,148
818,llei,148
819,calma,148
820,acabava,148
821,carn,148
822,salut,148
823,volgut,148
824,posa,147
825,nois,147
826,alemanya,147
827,portar,146
828,jutglar,146
829,camps,146
830,seguia,146
831,deixà,146
832,dormir,146
833,pis,145
834,impossible,145
835,platja,145
836,afegí,145
837,obrir,145
838,donà,145
839,sopar,145
840,alemany,144
841,doctor,144
842,parlava,144
843,boig,144
844,espai,144
845,cavalls,144
846,-això,143
847,terrible,143
848,causa,143
849,estant,143
850,duc,143
851,solament,143
852,història,142
853,jardí,142
854,alt,142
855,companyia,142
856,pares,142
857,talment,141
858,remor,141
859,general,141
860,pere,140
861,botiga,140
862,via,140
863,aigües,140
864,mentres,140
865,últim,140
866,roca,140
867,esser,140
868,plens,140
869,molta,139
870,voler,139
871,noves,139
872,malvolí,138
873,colla,138
874,trenta,138
875,llibres,138
876,resta,138
877,gràcia,138
878,an,138
879,david,138
880,joves,137
881,fugir,137
882,diré,137
883,fortuna,137
884,pensaments,137
885,passà,137
886,romandre,136
887,felicitat,136
888,estranya,136
889,figura,136
890,semblaven,136
891,vells,136
892,haurien,136
893,música,136
894,flor,135
895,voluntat,135
896,pes,135
897,seutes,135
898,estan,135
899,forta,135
900,dents,135
901,cançó,135
902,pensant,135
903,finalment,134
904,negres,134
905,fulles,134
906,cadira,133
907,somni,133
908,gana,133
909,recó,133
910,noies,133
911,feines,133
912,malgrat,133
913,sia,133
914,trista,133
915,entrada,132
916,passes,132
917,esperava,132
918,creia,131
919,vàrem,131
920,tornat,131
921,germà,131
922,posava,131
923,acabar,131
924,bassanio,130
925,mentrestant,130
926,greu,130
