,Words,Frequency
890,crescenzi,70
891,jadis,70
892,foi,70
893,appeler,70
894,portait,70
895,entrée,70
896,sentiments,70
897,angleterre,69
898,certaine,69
899,espoir,69
900,rues,69
901,quarante,69
902,paysan,69
903,dernière,69
904,gagner,69
905,physionomie,69
906,allons,69
907,souverain,68
908,montagnes,68
909,oeil,68
910,simplement,68
911,mčre,68
912,apparence,68
913,baron,68
914,vertu,68
915,est-à-dire,68
916,personnage,68
917,disait-elle,68
918,faisaient,67
919,agit,67
920,expression,67
921,naissance,67
922,honnête,67
923,passage,67
924,autrefois,67
925,pauvres,67
926,arrivait,67
927,hong-kong,67
928,font,67
929,absence,67
930,charmante,67
931,jeu,66
932,pâle,66
933,courut,66
934,pensa-t-il,66
935,suivi,66
936,jeter,66
937,comprendre,66
938,liberté,66
939,viens,66
940,attendait,66
941,rire,66
942,vanité,66
943,est-il,66
944,unique,66
945,revenir,66
946,pitié,66
947,politique,66
948,tomba,66
949,venu,65
950,avouer,65
951,folle,65
952,soin,65
953,envie,65
954,directeur,65
955,échelle,65
956,croix,65
957,caporal,65
958,chargé,65
959,appelle,65
960,membres,65
961,admirable,64
962,sourire,64
963,ligne,64
964,pouvaient,64
965,cherchait,64
966,fuite,64
967,projet,64
968,nature,64
969,bataille,64
970,savez,64
971,longues,64
972,boulet,64
973,cadet,64
974,leva,64
975,précisément,64
976,neveu,64
977,moyens,63
978,village,63
979,chaise,63
980,manque,63
981,jouer,63
982,descendre,63
983,bologne,63
984,chélan,63
985,génie,63
986,envoyer,63
987,oublié,63
988,belles,63
989,devint,63
990,apprit,63
991,phrases,63
992,tendre,63
993,grosse,63
994,justice,63
995,dame,62
996,mur,62
997,plein,62
998,sang-froid,62
999,marche,62
1000,usage,62
1001,pût,62
1002,prenait,62
1003,cadets,62
1004,poudre,62
1005,heureuse,62
1006,paysans,62
1007,passe,62
1008,livre,62
1009,parfaite,62
1010,ait,62
1011,vif,61
1012,but,61
1013,écria-t-il,61
1014,avance,61
1015,bureau,61
1016,spectacle,61
1017,dû,61
1018,pain,61
1019,adresser,61
1020,mouvements,61
1021,paraître,61
1022,fausta,61
1023,gendarmes,61
1024,prétexte,60
1025,--le,60
1026,forme,60
1027,sortit,60
1028,nouvelles,60
1029,fusil,60
1030,avenir,60
1031,nécessaire,60
1032,vieille,60
1033,quatre-vingts,60
1034,époque,60
1035,mauvaise,60
1036,évidemment,60
1037,prudence,60
1038,sérieux,60
1039,monseigneur,60
1040,amérique,60
1041,bombay,60
1042,répliqua,60
1043,prenant,60
1044,mesure,60
1045,facile,60
1046,sombre,60
1047,rang,59
1048,dis,59
1049,malade,59
1050,habits,59
1051,faiblesse,59
1052,corde,59
1053,souvenir,59
1054,abbesse,59
1055,étonnement,59
1056,placé,59
1057,chef,59
1058,campagne,59
1059,émotion,58
1060,laissait,58
1061,ouvrir,58
1062,songeait,58
1063,nicholl,58
1064,--que,58
1065,blanc,58
1066,tirer,58
1067,habitude,58
1068,mérite,58
1069,vont,58
1070,loge,58
1071,doux,58
1072,jeunesse,58
1073,plutôt,58
1074,suivit,58
1075,faute,58
1076,songer,57
1077,es,57
1078,laissé,57
1079,surpris,57
1080,enthousiasme,57
1081,pense,57
1082,frilair,57
1083,pièce,57
1084,hier,57
1085,sir,57
1086,ordinaire,57
1087,maréchale,57
1088,aurai,57
1089,autrement,57
1090,valet,56
1091,voyez,56
1092,diable,56
1093,columbiad,56
1094,année,56
1095,millions,56
1096,lèvres,56
1097,singulière,56
1098,commis,56
1099,habitants,56
1100,sublime,56
1101,connu,56
1102,plan,55
1103,lesquels,55
1104,signora,55
1105,inspecteur,55
1106,marietta,55
1107,connaître,55
1108,commençait,55
1109,intérieur,55
1110,laissa,55
1111,moi-même,55
1112,paraissait,55
1113,agir,54
1114,quitté,54
1115,recevoir,54
1116,revoir,54
1117,arrêté,54
1118,cesse,54
1119,promenade,54
1120,poids,54
1121,celle-ci,54
1122,osa,54
1123,soins,54
1124,battre,54
1125,juste,54
1126,escalier,54
1127,laquais,54
1128,imprudence,54
1129,rendit,54
1130,agissait,54
1131,rester,54
1132,montrer,54
1133,opinion,54
1134,passant,54
1135,poète,54
1136,approcha,53
1137,francis,53
1138,chevalier,53
1139,démarche,53
1140,expérience,53
1141,célèbre,53
1142,auparavant,53
1143,albano,53
1144,raversi,53
1145,fervaques,53
1146,court,53
1147,ferme,53
1148,écus,53
1149,serais,53
1150,empêcher,53
1151,resta,53
1152,voulez,53
1153,puisse,52
1154,logis,52
1155,déjeuner,52
1156,collègues,52
1157,derville,52
1158,admiration,52
1159,oublier,52
1160,importe,52
1161,vieillard,52
1162,fonte,52
1163,eussent,52
1164,--ce,52
1165,major,52
1166,sol,52
1167,devaient,52
1168,vraiment,52
1169,gouvernement,52
1170,fureur,52
1171,heureusement,52
1172,quitta,52
1173,béatrix,52
1174,marcher,52
1175,placer,52
1176,ancien,52
1177,disant,51
1178,nommé,51
1179,aide,51
1180,ministère,51
1181,º,51
1182,naturel,51
1183,--si,51
1184,san,51
1185,pierre,51
1186,transports,51
1187,comprit,51
1188,frčre,51
1189,manquait,51
1190,utile,51
1191,forteresse,51
1192,agent,51
1193,circonstance,51
1194,reconnaissance,51
1195,moitié,51
1196,rendait,51
1197,présenter,51
1198,sacrifice,51
1199,visite,51
1200,chapelle,51
1201,honte,51
1202,certains,51
1203,fameux,51
1204,page,51
1205,étage,51
1206,joli,50
1207,questions,50
1208,objet,50
1209,firent,50
1210,ouvrit,50
1211,peuvent,50
1212,nobles,50
1213,province,50
1214,termes,50
1215,arbres,50
1216,duègne,50
1217,balcon,50
1218,crainte,50
1219,jalousie,50
1220,a-t-il,50
1221,sévère,50
1222,debout,50
1223,ferai,50
1224,proposition,50
1225,castro,50
1226,station,50
1227,discours,49
1228,continua,49
1229,avis,49
1230,discussion,49
1231,répétait,49
1232,poison,49
1233,existence,49
1234,manger,49
1235,occupé,49
1236,mettait,49
1237,connaissait,49
1238,montagne,49
1239,voisin,49
1240,norbert,49
1241,puisqu,49
1242,conduire,49
1243,retard,49
1244,mode,49
1245,tante,49
1246,écrivit,49
1247,demandait,48
1248,compris,48
1249,auteur,48
1250,avez-vous,48
1251,combat,48
1252,armée,48
1253,connaissance,48
1254,voie,48
1255,prend,48
1256,actions,48
1257,ferait,48
1258,regarde,48
1259,ferrante,48
1260,partit,48
1261,entière,48
1262,assis,48
1263,apprendre,48
1264,rencontre,48
1265,geôlier,48
1266,deviner,47
1267,certainement,47
1268,pensées,47
1269,montra,47
1270,finit,47
1271,affreuse,47
1272,pages,47
1273,fini,47
1274,galop,47
1275,faits,47
1276,portrait,47
1277,élevé,47
1278,dehors,47
1279,basse,47
1280,lignière,47
1281,servir,47
1282,marcel,47
1283,fenêtres,47
1284,semblaient,47
1285,gloire,47
1286,cromarty,47
1287,grave,47
1288,quantité,47
1289,nord,47
1290,travail,47
1291,pistolet,46
1292,pietranera,46
1293,facilement,46
1294,ambition,46
1295,--monsieur,46
1296,lumière,46
1297,écouter,46
1298,calme,46
1299,bonnes,46
1300,levant,46
1301,acheter,46
1302,faible,46
1303,sage,46
1304,fauteuil,46
1305,pleine,46
1306,visage,46
1307,sot,46
1308,ose,46
1309,front,46
1310,colonna,46
1311,devenir,46
1312,f,46
1313,reçut,46
1314,prêtres,46
1315,sentir,46
1316,extrémité,46
1317,vicaire,46
1318,raconter,45
1319,filles,45
1320,faēon,45
1321,curiosité,45
1322,courir,45
1323,fier,45
1324,épaules,45
1325,suivait,45
1326,derniers,45
1327,bons,45
1328,octobre,45
1329,aspect,45
1330,entreprise,45
1331,caché,45
1332,latin,45
1333,exactement,45
1334,publique,45
1335,conditions,45
1336,rempli,45
1337,appartement,45
1338,tranquille,45
1339,échapper,45
1340,new,45
1341,large,45
1342,portant,45
1343,extrêmement,45
1344,horrible,45
1345,secrétaire,45
1346,journaux,45
1347,voulez-vous,45
1348,religion,45
1349,coupable,45
1350,partout,45
1351,vapeur,44
1352,coin,44
1353,iv,44
1354,événement,44
1355,façons,44
1356,prêt,44
1357,the,44
1358,yokohama,44
1359,répondait,44
1360,parvenir,44
1361,rapide,44
1362,cru,44
1363,troupe,44
1364,cantinière,44
1365,projets,44
1366,goût,44
1367,guide,44
1368,jeté,44
1369,maisons,44
1370,vingt-quatre,44
1371,gare,44
1372,remit,44
1373,port,44
1374,voleur,44
1375,billet,44
1376,sembla,44
1377,côtés,44
1378,vaste,44
1379,laisse,44
1380,personnages,44
1381,froidement,44
1382,lentement,43
1383,arrive,43
1384,croit,43
1385,cou,43
1386,sortant,43
1387,rente,43
1388,léger,43
1389,espace,43
1390,furieux,43
