,Words,Frequency,%
70,must,3545424,0.10502341363319397
71,much,3499158,0.1036529109076657
72,where,3469260,0.1027672650664898
73,down,3415407,0.10117201837825493
74,men,3390539,0.10043537242272739
75,good,3365178,0.09968412270107169
76,most,3278728,0.09712327973600189
77,know,3258887,0.09653554479939172
78,old,3258156,0.09651389093927065
79,how,3216416,0.09527745848858224
80,those,3166056,0.09378568229747854
81,here,3108797,0.09208954224731161
82,day,3086705,0.0914351276402055
83,come,3059896,0.09064098490971903
84,never,3027053,0.08966810156094185
85,being,2969212,0.08795472136496034
86,many,2965419,0.08784236419472888
87,life,2940056,0.08709105522858585
88,way,2923217,0.08659224626746599
89,own,2906592,0.08609977646649104
90,through,2882052,0.08537284660688649
91,came,2877082,0.08522562405585819
92,long,2874364,0.08514511079756946
93,even,2771773,0.08210613519745986
94,himself,2749911,0.08145853370639733
95,every,2694699,0.07982303038901811
96,make,2632151,0.07797021829209289
97,back,2615038,0.0774632928362081
98,shall,2611570,0.07736056289516864
99,again,2602192,0.07708276549405325
100,same,2594813,0.07686418295802955
101,without,2586361,0.07661381575455042
102,too,2553042,0.07562683221778743
103,might,2546775,0.07544118961672217
104,say,2539327,0.07522056314588538
105,new,2538302,0.07519020034612603
106,while,2519706,0.07463934510288209
107,under,2476359,0.07335530970661974
108,people,2365371,0.07006759612643274
109,still,2361127,0.06994187932430715
110,found,2348331,0.0695628330943357
111,just,2321600,0.0687710008988553
112,place,2295527,0.0679986601397082
113,also,2290542,0.06785099325502489
114,last,2290144,0.06783920360204516
115,take,2288982,0.06780478255490333
116,think,2280270,0.06754671356807061
117,yet,2225285,0.06591793450000395
118,went,2217203,0.06567852752668188
119,away,2212701,0.06554516818569003
120,thought,2157795,0.06391872927487313
121,years,2146644,0.06358841163573498
122,though,2129024,0.06306646770231068
123,hand,2111316,0.06254191701144364
124,another,2095575,0.062075633273870896
125,don,2065314,0.06117923455824363
126,three,2064070,0.06114238448712105
127,house,2060503,0.06103672194395848
128,work,2057695,0.060953542683739675
129,eyes,2010440,0.05955374355922408
130,god,1983036,0.05874197559375534
131,off,1968014,0.05829699024937965
132,once,1951138,0.0577970852652441
133,right,1944923,0.05761298302084955
134,against,1937384,0.05738966092583901
135,young,1936542,0.05736471899667084
136,part,1919214,0.05685142475839751
137,each,1905636,0.056449213933877924
138,nothing,1905130,0.05643422507858209
139,left,1874230,0.055518897749251186
140,let,1872952,0.055481040521843904
141,get,1860523,0.05511286565529847
142,between,1840222,0.05451150448660117
143,world,1816718,0.05381526327143633
144,head,1791796,0.053077017714750735
145,give,1787356,0.052945494952866295
146,ever,1781031,0.0527581342616683
147,few,1776574,0.05262610792164151
148,king,1735725,0.05141606889006099
149,father,1733254,0.05134287232595819
150,face,1717536,0.0508772698999898
151,put,1712712,0.050734372196536974
152,night,1680871,0.04979117033591479
153,far,1680288,0.04977390056785654
154,took,1664993,0.04932082835095958
155,things,1664717,0.04931265261170731
156,because,1653909,0.04899249540214716
157,always,1648004,0.04881757605328959
158,saw,1643865,0.04869496958674912
159,both,1641741,0.04863205194119899
160,sir,1628513,0.048240208901963094
161,love,1604116,0.047517515023203026
162,called,1597786,0.047330006220786695
163,having,1591186,0.0471344994125801
164,tell,1577696,0.04673489534550327
165,mrs,1562859,0.0462953901162061
166,side,1558623,0.04616991029202986
167,however,1545186,0.04577187620386742
168,country,1538006,0.045559188494333575
169,why,1537510,0.04554449586147441
170,whole,1536050,0.04550124738571962
171,name,1529616,0.04531065786996185
172,water,1529381,0.045303696642699946
173,mind,1518894,0.04499304817335713
174,among,1511908,0.04478610717909481
175,look,1509340,0.044710037257356235
176,find,1495091,0.04428794990733565
177,seen,1466316,0.04343556984579854
178,home,1463413,0.0433495764724313
179,lord,1458121,0.04319281555894201
180,heart,1439717,0.04264764778648227
181,thing,1434250,0.042485702980351134
182,going,1424291,0.04219069505566484
183,looked,1421226,0.042099902878823446
184,done,1417672,0.041994625424828555
185,whom,1409484,0.0417520784936777
186,days,1405430,0.04163198991784898
187,got,1402254,0.04153790967196047
188,seemed,1402116,0.04153382180233433
189,general,1400415,0.04148343436585563
190,told,1399508,0.041456566990849056
191,soon,1398250,0.04141930220831513
192,thus,1381956,0.040936637369994165
193,course,1378162,0.04082425057751904
194,small,1375468,0.040744448253078346
195,better,1375156,0.040735206113054034
196,asked,1367707,0.04051455001997358
197,end,1362780,0.04036860122542299
198,mother,1356001,0.04016779203559988
199,heard,1355693,0.04015866838455023
200,woman,1348142,0.03993499082261568
201,almost,1328322,0.03934787795312252
202,something,1327852,0.03933395549859872
203,moment,1320489,0.03911584691847369
204,until,1317774,0.039035422526915976
205,knew,1306709,0.03870765240073324
206,enough,1295203,0.03836681886509307
207,light,1286165,0.038099093026824696
208,hands,1275794,0.03779188073774732
209,quite,1275377,0.03777952826213791
210,large,1274559,0.037755297266817756
211,taken,1269684,0.03761088882893788
212,white,1268911,0.03758799083458277
213,nor,1265240,0.037479247578078766
214,given,1259115,0.03729781133561431
215,words,1234803,0.036577635347565994
216,since,1233692,0.03654472503485121
217,state,1230611,0.03645345890211113
218,set,1221636,0.036187599265193826
219,gave,1217406,0.03606229717447959
220,room,1214769,0.03598418331792796
221,best,1213612,0.035949910382004464
222,brought,1208524,0.035799192406223375
223,does,1204662,0.035684791301178846
224,whose,1203763,0.03565816090412161
225,others,1199108,0.03552026935984862
226,present,1198138,0.035491535783490985
227,death,1196984,0.0354573517142985
228,next,1182977,0.03504243294724549
229,during,1180535,0.03497009542820905
230,power,1177177,0.03487062393397302
231,less,1156150,0.03424775701637299
232,yes,1150698,0.034086256543896874
233,year,1147299,0.03398557053767048
234,perhaps,1137672,0.03370039719788184
235,themselves,1136703,0.033671693243767876
236,morning,1127895,0.03341078052154307
237,order,1124079,0.03329774203970725
238,feet,1120240,0.03318402224626708
239,poor,1119476,0.03316139085210498
240,used,1109985,0.03288024613745515
241,lady,1109240,0.03285817756592274
242,near,1108644,0.032840522708696814
243,turned,1106070,0.03276427505349624
244,word,1103620,0.03269170055651045
245,rather,1097696,0.0325162183850232
246,door,1092170,0.03235252586651567
247,use,1091894,0.032344350127263395
248,half,1090040,0.03228943048750354
249,want,1083994,0.032110334402288825
250,john,1080168,0.03199699969801633
251,above,1074433,0.03182711613058226
252,cannot,1073739,0.0318065582934769
253,full,1073399,0.031796486730629896
254,war,1068192,0.031642243707852354
255,true,1067057,0.03160862246128955
256,case,1063827,0.03151294261424299
257,high,1063747,0.031510572834749576
258,began,1062489,0.031473308052215654
259,matter,1060241,0.03140671724845074
260,together,1058108,0.031343533002707605
261,certain,1042857,0.030891764164532015
262,church,1042592,0.030883914269960084
263,miss,1042410,0.03087852302161257
264,felt,1042130,0.030870228793385624
